Designator,Mid X,Mid Y,Rotation,Layer
C1,12.2428,15.494,0.0,top
C10,12.2174,17.0434,0.0,top
C11,32.639,19.4288,0.0,top
C12,28.4988,17.9302,-90.0,top
C13,21.336,19.3272,0.0,top
C14,18.1864,17.9556,-90.0,top
C15,18.2118,41.2474,90.0,top
C16,16.9164,41.3258,-90.0,top
C17,23.7236,20.574,180.0,top
C18,21.336,20.574,0.0,top
C2,7.3152,10.4648,0.0,top
C3,14.8844,13.9954,180.0,top
C4,15.1384,15.494,180.0,top
C5,12.3952,24.0262,180.0,top
C6,10.4394,24.0262,0.0,top
C7,14.4526,41.2494,-90.0,top
C8,7.4674,12.4948,0.0,top
C9,11.7602,13.9954,0.0,top
D1,14.8082,38.0815,-90.0,top
D2,17.9578,38.0863,-90.0,top
D3,17.0942,17.7778,-90.0,top
D4,13.1572,20.3432,90.0,top
D5,12.903,3.0206,0.0,top
J1,21.9454,11.056,180.0,top
J2,32.512,11.056,180.0,top
J3,3.1494,10.241,180.0,top
J4,5.2846,29.0574,-90.0,top
J5,8.5344,38.8852,180.0,top
Q1,13.3858,32.8168,90.0,top
Q2,7.9754,4.5192,-90.0,top
R1,9.0678,32.6898,-90.0,top
R10,34.2138,21.41,-90.0,top
R11,10.0838,32.6898,90.0,top
R12,7.5946,8.4074,0.0,top
R13,7.5946,7.239,0.0,top
R14,28.4988,15.6696,-90.0,top
R15,18.1864,15.6442,-90.0,top
R16,36.8046,21.41,-90.0,top
R17,35.6362,21.41,-90.0,top
R18,11.0998,32.6898,-90.0,top
R2,10.4648,22.7816,180.0,top
R3,17.0942,15.6188,-90.0,top
R4,15.8496,38.1069,-90.0,top
R5,16.9164,38.1069,-90.0,top
R6,14.4018,24.0262,0.0,top
R7,15.5702,41.2516,90.0,top
R8,29.591,20.9782,-90.0,top
R9,28.3718,20.9782,-90.0,top
SW1,1.8796,37.8438,-90.0,top
U1,12.3538,27.838284,-90.0,top
U2,12.827,8.7354,90.0,top
U3,28.6004,32.4268,90.0,top
U4,5.2324,18.1588,90.0,top
U5,32.8422,16.1014,90.0,top
U6,22.5044,16.0506,90.0,top
