Designator,Mid X,Mid Y,Rotation,Layer
C1,7.3152,10.4648,0.0,top
C10,14.4272,11.6078,180.0,top
C11,14.2748,12.9286,180.0,top
C12,16.9164,41.3258,270.0,top
C13,18.2118,41.2474,90.0,top
C14,32.639,19.4288,0.0,top
C15,28.4988,17.9302,270.0,top
C16,23.7236,20.574,180.0,top
C17,21.336,19.3272,0.0,top
C18,18.1864,17.9556,270.0,top
C19,21.336,20.574,0.0,top
C2,7.3406,12.4206,0.0,top
C3,11.9914,19.7998,0.0,top
C4,12.3952,24.0262,180.0,top
C5,14.5542,20.0792,180.0,top
C6,10.8966,11.5824,0.0,top
C7,10.4394,24.0262,0.0,top
C8,10.8712,12.9032,0.0,top
C9,14.4526,41.2494,270.0,top
D1,14.8082,38.0815,270.0,top
D2,17.9578,38.0863,270.0,top
D3,7.4168,4.318,270.0,top
D4,17.0942,17.7778,270.0,top
D5,14.5796,16.9042,90.0,top
D6,12.065,16.9042,90.0,top
J1,21.9454,11.056,180.0,top
J2,32.512,11.056,180.0,top
J3,3.1494,10.241,180.0,top
J4,5.2846,29.0574,270.0,top
J5,8.5344,38.8852,180.0,top
Q1,13.3858,32.8168,90.0,top
R1,15.8496,38.1069,270.0,top
R10,10.0838,32.6898,90.0,top
R11,11.0998,32.6898,270.0,top
R12,15.5702,41.2516,90.0,top
R13,34.2138,21.41,270.0,top
R14,29.591,20.9782,270.0,top
R15,28.3718,20.9782,270.0,top
R16,14.3002,13.9192,180.0,top
R17,36.8046,21.41,270.0,top
R18,35.6362,21.41,270.0,top
R19,28.4988,15.6696,270.0,top
R2,16.9164,38.1069,270.0,top
R20,18.1864,15.6442,270.0,top
R3,9.1694,2.8956,270.0,top
R4,9.0678,32.6898,270.0,top
R5,10.4648,22.7816,180.0,top
R6,17.0942,15.6188,270.0,top
R7,14.4018,24.0262,0.0,top
R8,11.9888,20.7772,0.0,top
R9,14.5288,22.098,180.0,top
SW1,1.8796,37.8438,270.0,top
U1,5.2324,18.1588,90.0,top
U2,12.3538,27.838284,270.0,top
U3,12.7254,6.3508,90.0,top
U4,32.8422,16.1014,90.0,top
U5,22.5044,16.0506,90.0,top
U6,28.6004,32.4268,90.0,top
